Date,Time,Tel,Confirmations,Label
20200101,0006,c3,0,0
20200101,0018,c3,0,0
20200101,0030,c3,0,0
20200101,0042,c3,0,0
20200101,0054,c3,0,0
20200101,0130,c3,0,0
20200101,0142,c3,0,0
20200101,0154,c3,0,0
20200101,0206,c3,0,0
20200101,0218,c3,0,0
20200101,0230,c3,0,0
20200101,0242,c3,0,0
20200101,0306,c3,0,0
20200101,0318,c3,0,0
20200101,0330,c3,0,0
20200101,0342,c3,0,0
20200101,0354,c3,0,0
20200101,0406,c3,0,0
20200101,0418,c3,0,0
20200101,0430,c3,0,0
20200101,0442,c3,0,0
20200101,0454,c3,0,0
20200101,0506,c3,0,0
20200101,0518,c3,0,0
20200101,0530,c3,0,0
20200101,0542,c3,0,0
20200101,0554,c3,0,0
20200101,0606,c3,0,0
20200101,0618,c3,0,0
20200101,0630,c3,0,0
20200101,0642,c3,0,0
20200101,0654,c3,0,0
20200101,0706,c3,0,0
20200101,0742,c3,0,0
20200101,0754,c3,0,0
20200101,0806,c3,0,0
20200101,0818,c3,0,0
20200101,0830,c3,0,0
20200101,0842,c3,0,0
20200101,0906,c3,0,0
20200101,0918,c3,0,0
20200101,0930,c3,0,0
20200101,0942,c3,0,0
20200101,0954,c3,0,0
20200101,1006,c3,0,0
20200101,1018,c3,0,0
20200101,1030,c3,0,0
20200101,1042,c3,0,0
20200101,1054,c3,0,0
20200101,1106,c3,0,0
20200101,1118,c3,0,0
20200101,1130,c3,0,0
20200101,1142,c3,0,0
20200101,1154,c3,0,0
20200101,1206,c3,0,0
20200101,1218,c3,0,0
20200101,1230,c3,0,0
20200101,1242,c3,0,0
20200101,1254,c3,0,0
20200101,1330,c3,0,0
20200101,1342,c3,0,0
20200101,1354,c3,0,0
20200101,1406,c3,0,0
20200101,1418,c3,0,0
20200101,1430,c3,0,0
20200101,1442,c3,0,0
20200101,1510,c3,0,0
20200101,1521,c3,0,0
20200101,1531,c3,0,0
20200101,1542,c3,0,0
20200101,1554,c3,0,0
20200101,1606,c3,0,0
20200101,1618,c3,0,0
20200101,1630,c3,0,0
20200101,1642,c3,0,0
20200101,1654,c3,0,0
20200101,1706,c3,0,0
20200101,1718,c3,0,0
20200101,1730,c3,0,0
20200101,1742,c3,0,0
20200101,1754,c3,0,0
20200101,1806,c3,0,0
20200101,1818,c3,0,0
20200101,1830,c3,0,0
20200101,1842,c3,0,0
20200101,1854,c3,0,0
20200101,1906,c3,0,0
20200101,1918,c3,0,0
20200101,1930,c3,0,0
20200101,1942,c3,0,0
20200101,1954,c3,0,0
20200101,2006,c3,0,0
20200101,2018,c3,0,0
20200101,2030,c3,0,0
20200101,2118,c3,0,0
20200101,2130,c3,0,0
20200101,2142,c3,0,0
20200101,2154,c3,0,0
20200101,2206,c3,0,0
20200101,2218,c3,0,0
20200101,2230,c3,0,0
20200101,2306,c3,0,0
20200101,2318,c3,0,0
20200101,2330,c3,0,0
20200101,2342,c3,0,0
20200101,2354,c3,0,0
20200102,0006,c3,0,0
20200102,0018,c3,0,0
20200102,0030,c3,0,0
20200102,0042,c3,0,0
20200102,0054,c3,0,0
20200102,0130,c3,0,0
20200102,0142,c3,0,0
20200102,0154,c3,0,0
20200102,0206,c3,0,0
20200102,0218,c3,0,0
20200102,0230,c3,0,0
20200102,0242,c3,0,0
20200102,0306,c3,0,0
20200102,0318,c3,0,0
20200102,0330,c3,0,0
20200102,0342,c3,0,0
20200102,0354,c3,0,0
20200102,0406,c3,0,0
20200102,0418,c3,0,0
20200102,0430,c3,0,0
20200102,0442,c3,0,0
20200102,0454,c3,0,0
20200102,0506,c3,0,0
20200102,0518,c3,0,0
20200102,0530,c3,0,0
20200102,0542,c3,0,0
20200102,0554,c3,0,0
20200102,0606,c3,0,0
20200102,0618,c3,0,0
20200102,0630,c3,0,0
20200102,0642,c3,0,0
20200102,0654,c3,0,0
20200102,0706,c3,0,0
20200102,0730,c3,0,0
20200102,0742,c3,0,0
20200102,0754,c3,0,0
20200102,0806,c3,0,0
20200102,0818,c3,0,0
20200102,0830,c3,0,0
20200102,0842,c3,0,0
20200102,0906,c3,0,0
20200102,0918,c3,0,0
20200102,0930,c3,0,0
20200102,0942,c3,0,0
20200102,0954,c3,0,0
20200102,1006,c3,0,0
20200102,1018,c3,0,0
20200102,1030,c3,0,0
20200102,1042,c3,0,0
20200102,1054,c3,0,0
20200102,1106,c3,0,0
20200102,1118,c3,0,0
20200102,1130,c3,0,0
20200102,1142,c3,0,0
20200102,1154,c3,0,0
20200102,1206,c3,0,0
20200102,1218,c3,0,0
20200102,1230,c3,0,0
20200102,1242,c3,0,0
20200102,1254,c3,0,0
20200102,1330,c3,0,0
20200102,1342,c3,0,0
20200102,1354,c3,0,0
20200102,1406,c3,0,0
20200102,1418,c3,0,0
20200102,1430,c3,0,0
20200102,1442,c3,0,0
20200102,1506,c3,0,0
20200102,1518,c3,0,0
20200102,1530,c3,0,0
20200102,1542,c3,0,0
20200102,1606,c3,0,0
20200102,1618,c3,0,0
20200102,1630,c3,0,0
20200102,1642,c3,0,0
20200102,1654,c3,0,0
20200102,1706,c3,0,0
20200102,1718,c3,0,0
20200102,1730,c3,0,0
20200102,1742,c3,0,0
20200102,1754,c3,0,0
20200102,1806,c3,0,0
20200102,1818,c3,0,0
20200102,1830,c3,0,0
20200102,1842,c3,0,0
20200102,1854,c3,0,0
20200102,1918,c3,0,0
20200102,1930,c3,0,0
20200102,1942,c3,0,0
20200102,1954,c3,0,0
20200102,2006,c3,0,0
20200102,2018,c3,0,0
20200102,2030,c3,0,0
20200102,2118,c3,0,0
20200102,2130,c3,0,0
20200102,2142,c3,0,0
20200102,2154,c3,0,0
20200102,2206,c3,0,0
20200102,2218,c3,0,0
20200102,2230,c3,0,0
20200102,2306,c3,0,0
20200102,2318,c3,0,0
20200102,2330,c3,0,0
20200102,2342,c3,0,0
